reflection_id,participant_id,workshop_id,date,reflection_text,sentiment,theme
R0335,P207,W048,2023-12-08,Would like more tailored examples for our discipline.,neutral,research workflows
R0336,P167,W048,2023-12-08,Great balance between demos and discussion.,positive,classroom use
R0337,P151,W024,2023-08-23,Practical examples made AI integration feel doable.,positive,assessment
R0338,P207,W015,2024-07-30,Great balance between demos and discussion.,positive,classroom use
R0339,P227,W038,2024-07-07,I left with clearer guardrails for student use of AI.,positive,research workflows
R0340,P145,W010,2024-02-13,Would like more tailored examples for our discipline.,neutral,ethical concerns
R0341,P191,W039,2024-04-14,Great balance between demos and discussion.,positive,ethical concerns
R0342,P213,W034,2024-09-16,Resources were actionable for my courses.,positive,classroom use
R0343,P065,W018,2023-07-19,Content was helpful but a bit fast.,neutral,ethical concerns
R0344,P133,W021,2024-01-01,Workshop felt too introductory for our team.,negative,ethical concerns
R0345,P217,W031,2023-08-14,Practical examples made AI integration feel doable.,positive,administrative processes
R0346,P115,W015,2024-07-30,Practical examples made AI integration feel doable.,positive,ethical concerns
R0347,P282,W054,2023-12-26,Great balance between demos and discussion.,positive,assessment
R0348,P017,W056,2024-01-12,"Good overview, I need to explore tools further.",neutral,research workflows
R0349,P235,W031,2023-08-14,Resources were actionable for my courses.,positive,administrative processes
R0350,P022,W037,2023-11-27,Resources were actionable for my courses.,positive,research workflows
R0351,P154,W057,2023-12-20,Resources were actionable for my courses.,positive,research workflows
R0352,P163,W051,2024-03-26,Resources were actionable for my courses.,positive,classroom use
R0353,P198,W052,2024-09-05,"Good overview, I need to explore tools further.",neutral,classroom use
R0354,P140,W012,2023-10-15,Resources were actionable for my courses.,positive,research workflows
R0355,P157,W045,2024-01-05,"Good overview, I need to explore tools further.",neutral,assessment
R0356,P013,W025,2024-09-23,Practical examples made AI integration feel doable.,positive,ethical concerns
R0357,P101,W017,2023-08-01,Slides were dense but the Q&A clarified things.,neutral,classroom use
R0358,P243,W053,2023-11-05,Resources were actionable for my courses.,positive,classroom use
R0359,P220,W002,2024-02-25,Would like more tailored examples for our discipline.,neutral,ethical concerns
R0360,P105,W041,2024-03-29,"Good overview, I need to explore tools further.",neutral,classroom use
